area,country,state_or_region,city,neighborhoods,services_available,existing_url,local_project_examples,notes,verified
Kuala Lumpur,Malaysia,Kuala Lumpur,Kuala Lumpur,,Residential renovation; kitchen; bathroom; office; shop; built-in furniture; approval support,/en/locations/kuala-lumpur,Mont Kiara Luxury Condo Renovation; TTDI Bungalow Dining and Kitchen Renovation,Public site and sitemap list Kuala Lumpur as core service area,yes
Selangor,Malaysia,Selangor,Selangor,,Residential renovation; kitchen; bathroom; office; shop; built-in furniture; warehouse,/en/locations/selangor,Kajang Landed House Modern Living Renovation; Kota Damansara Clinic Reception Fit-Out,Public site and sitemap list Selangor as core service area,yes
Klang Valley,Malaysia,Kuala Lumpur and Selangor,Klang Valley,,Residential renovation; commercial fit-out; built-in furniture; materials advice,,Multiple projects across KL and Selangor,Public llms.txt lists Klang Valley as service coverage,yes
Ampang,Malaysia,Selangor,Ampang,,Residential renovation; exterior works; built-in furniture,/en/locations/ampang,Ampang Landed Exterior Repaint,Public location page in sitemap,yes
Ara Damansara,Malaysia,Selangor,Ara Damansara,,Residential renovation; built-in furniture; office renovation,/en/locations/ara-damansara,,Public location page in sitemap,yes
Balakong,Malaysia,Selangor,Balakong,,Warehouse; office corner; commercial fit-out,/en/locations/balakong,Balakong Warehouse Office Corner,Public location page in sitemap,yes
Bangsar,Malaysia,Kuala Lumpur,Bangsar,,Residential renovation; custom built-in; office fit-out,/en/locations/bangsar,Bangsar Walk-In Wardrobe System; Bangsar Coworking Space Planning,Public location page in sitemap,yes
Bukit Jalil,Malaysia,Kuala Lumpur,Bukit Jalil,,Condo renovation; custom storage; built-in furniture,/en/locations/bukit-jalil,Bukit Jalil Family Condo Study Corner Upgrade,Public location page in sitemap,yes
Cheras,Malaysia,Kuala Lumpur and Selangor,Cheras,,Shop renovation; stockroom shelving; facade; residential renovation,/en/locations/cheras,Cheras Retail Boutique Renovation; Cheras Glass Shopfront Facade,Public location page in sitemap,yes
Cyberjaya,Malaysia,Selangor,Cyberjaya,,Office renovation; tech office fit-out; commercial renovation,/en/locations/cyberjaya,Cyberjaya Tech Office Renovation,Public location page in sitemap,yes
Damansara,Malaysia,Selangor,Damansara,,Residential renovation; master suite; built-in furniture,/en/locations/damansara,Damansara Heights Semi-D Master Suite Upgrade,Public location page in sitemap,yes
Desa ParkCity,Malaysia,Kuala Lumpur,Desa ParkCity,,Residential renovation; condo renovation; built-in furniture,/en/locations/desa-parkcity,,Public location page in sitemap,yes
Kajang,Malaysia,Selangor,Kajang,,Landed house renovation; residential renovation; old house renovation,/en/locations/kajang,Kajang Landed House Modern Living Renovation,Public location page in sitemap,yes
Kepong,Malaysia,Kuala Lumpur,Kepong,,Feature wall; built-in storage; residential renovation,/en/locations/kepong,Kepong TV Feature Wall Storage,Public location page in sitemap,yes
Klang,Malaysia,Selangor,Klang,,Industrial storage; warehouse; commercial fit-out,/en/locations/klang,Klang Industrial Storage Upgrade,Public location page in sitemap,yes
Kota Damansara,Malaysia,Selangor,Kota Damansara,,Clinic fit-out; commercial renovation; residential renovation,/en/locations/kota-damansara,Kota Damansara Clinic Reception Fit-Out,Public location page in sitemap,yes
Mont Kiara,Malaysia,Kuala Lumpur,Mont Kiara,,Condo renovation; luxury residential; office suite,/en/locations/mont-kiara,Mont Kiara Luxury Condo Renovation; Mont Kiara Consulting Office Suite,Public location page in sitemap,yes
Petaling Jaya,Malaysia,Selangor,Petaling Jaya,,Office fit-out; aluminium glass entrance; residential renovation,/en/locations/petaling-jaya,Petaling Jaya Corporate Office Fit-Out; Petaling Jaya Aluminium Glass Entrance,Public location page in sitemap,yes
Puchong,Malaysia,Selangor,Puchong,,Built-in furniture; warehouse racking; home office,/en/locations/puchong,Puchong Home Library Built-In; Puchong Heavy Duty Warehouse Racking,Public location page in sitemap,yes
Putrajaya,Malaysia,Putrajaya,Putrajaya,,Residential renovation; office renovation; built-in furniture,/en/locations/putrajaya,,Public location page in sitemap,yes
Rawang,Malaysia,Selangor,Rawang,,Residential renovation; landed renovation; warehouse,/en/locations/rawang,,Public location page in sitemap,yes
Semenyih,Malaysia,Selangor,Semenyih,,Residential renovation; landed house renovation; built-in furniture,/en/locations/semenyih,,Public location page in sitemap,yes
Seri Kembangan,Malaysia,Selangor,Seri Kembangan,,Residential renovation; commercial renovation; built-in furniture,/en/locations/seri-kembangan,,Public location page in sitemap,yes
